func_name,Deepseek-V3.2,Gemini-3.1-Flash-Lite-Preview,Qwen3-32B,Qwen3-Coder-30B-A3B-Instruct,GPT-5.4-mini,Deepseek-V4-Flash
DateUtil.calendar,0.909047839,0.962031474,0.962525484,0.951076761,0.914060757,0.914008067
PoissonDistribution.logpmf,0.977378579,0.942748183,0.957710194,0.976332376,0.974868419,0.971064287
TransliteratorIDParser.parseCompoundID,0.943641725,0.932105421,0.959585503,0.927990427,0.974245394,0.961913825
ElementUtil.fromModifierSet,0.965853892,0.968457228,0.994570579,0.963060732,1,0.997904989
Sql.inout,0.951994391,0.999896141,0.999910461,0.999854372,0.999903787,0.999883615
BytePrimitiveVector.deserialize,0.829997918,0.890015851,0.891920747,0.843849868,0.791592247,0.840556668
TimeBoundedStreamJoin.removeExpiredRows,0.929015407,0.922681015,0.918913733,0.925174085,0.914865344,0.91696512
InvCatalogFactory.readXMLasynch,0.79704064,0.785396436,0.872390373,0.785157829,0.990339816,0.785315334
MessageInfo.parseType,0.92292165,0.832077794,0.922899476,0.899506391,0.951742899,0.914073133
StereoElementFactory.interpretProjections,0.816180534,0.941006625,0.912293504,0.896910353,0.912533339,0.928796603
GridVariable.showMissingSummary,0.957407323,0.951332048,0.901684538,0.897602659,0.835660012,0.965433651
RangeDateSelector.synchUI,0.909944343,0.910421174,0.869841635,0.923535239,0.892080122,0.88974032
MetaClassImpl.getMethods,0.945020403,0.967526573,0.956443933,0.957308179,0.970572365,0.966668224
TextWriter.output,0.919497972,0.823004175,0.861515968,0.861174093,0.851986847,0.845902652
CmsSearchTab.removeParameter,0.947649094,0.942928494,0.86362084,0.977359924,0.985228465,0.964863495
EigenvalueDecomposition.getD,0.910989731,0.947488227,0.91279071,0.947410471,0.914632408,0.916275451
Calendar.getPatternData,0.970566508,0.968499952,0.961031485,0.96315358,0.955775628,0.967200221
Types.TUPLE,0.999884602,0.9567164,0.999927823,0.945374286,0.999859906,0.948245341
GammaDistribution.chisquaredProbitApproximation,0.918883953,0.93737294,0.923536797,0.907994178,0.921512477,0.958778939
HBondAcceptorCountDescriptor.calculate,0.956880398,0.958460553,0.95934271,0.962081781,0.920986867,0.958734907
SubWriterHolderWriter.addMemberTree,0.980435792,0.928214548,0.985219457,0.978697199,0.982080421,0.984353979
Main.error,0.943854776,0.944192534,0.801901931,0.845495427,0.955878324,0.939309037
RemoteEnvironment.execute,0.990199083,0.974500421,0.912009511,0.971006341,0.961796346,0.907040007
Broker.getAndRemove,0.960803091,0.933803276,0.875244193,0.952502001,0.983404645,0.88488712
AtomicAllocator.getConfiguration,0.983280419,0.983124827,0.9244872,0.999853342,0.923776232,1
HashUtil.bernstein,0.994058701,0.996648995,0.994249589,0.996579779,0.994209684,0.9544173
NFAStateSerializer.serializeComputationStates,0.993315952,0.995373986,0.993037246,0.99521603,0.98457648,0.995418414
ClassWriter.writeInnerClasses,0.930985112,0.925057659,0.93615741,0.949086769,0.951229844,0.939060126
StructureDiagramGenerator.placeSgroupBrackets,0.887018579,0.939475716,0.884815473,0.951049514,0.925175453,0.861741763
ExampleLineDetection.detectLineSegments,0.965315533,0.974922459,0.966036858,0.977512356,0.975052258,0.972889303
FileAppender.append,0.904118089,0.964525588,0.965610945,0.902460277,0.964965556,0.965131018
AbstractMTreeNode.integrityCheck,0.888812306,0.883347772,0.885838175,0.899676,0.864679748,0.885553547
GIntegralImageOps.convolve,0.996874289,0.99684351,0.997393469,0.9945269,0.998711891,0.996977022
RestApiConfig.disableGroups,0.999892811,0.9998977,0.999881763,1,0.999913174,0.964319986
StaticTypeCheckingVisitor.checkOrMarkPrivateAccess,0.929351848,0.930626335,0.907643583,0.844833825,0.882171741,0.936304412
UrlResource.readStr,0.981846596,0.911547982,0.999906575,0.844140341,0.981395514,0.981747977
CacheSimpleConfig.setCacheWriterFactory,0.999872841,0.999924519,0.999904544,0.995227895,0.999905928,1
VariableScopeVisitor.pushState,0.903663344,0.91789134,0.888305058,0.930435486,0.864781631,0.87023253
GeneralizedLogisticAlternateDistribution.pdf,0.89845931,0.915188214,0.913853043,0.895625856,0.902850751,0.978097992
Security.getProviderProperty,0.882259156,0.861901417,0.881505263,0.832733019,0.888634495,0.879193118
QueueContainer.txnCommitPollBackup,0.950645424,0.929880825,0.880880944,0.887794907,0.951106012,0.902601837
Selector.getSelector,0.974005873,0.946229541,0.928697814,0.941841967,0.945914051,0.95139162
MarkedElement.markupMol,0.999920045,0.99991594,0.970733286,0.999901151,0.970096473,0.999903625
SMARTSAtomInvariants.configureDaylightWithRingInfo,0.999928717,0.999912939,0.999904507,0.999889718,0.992076229,0.99993948
SparkEMRClient.createCluster,0.908272208,0.901893661,0.892306967,0.800995656,0.929439189,0.903354359
FactoryMultiView.bundleSparseMetric,0.942437421,0.952281705,0.947625223,0.943660777,0.931894236,0.944705037
MatchOps.makeRef,0.924772592,0.874973414,0.988795658,0.998102453,0.984412899,0.92023906
MutableProgress.setTotal,0.965678189,0.965324726,0.956868955,0.952497274,0.969376042,0.952278366
HttpSessionsPanel.setSessionsTableColumnSizes,0.936145329,0.942301137,0.960891471,0.9595037,0.962559773,0.967365923
XLogPDescriptor.getDoubleBondedNitrogenCount,0.987926603,0.988512194,0.989125285,0.987520996,0.988898865,0.98837177
ClientConfig.addNearCacheConfig,0.999921809,0.927519276,0.945016319,0.927058014,0.999861373,0.999837481
NioGroovyMethods.write,0.935494316,0.932283381,0.899935761,0.900535124,0.927283981,0.867257818
HadoopBlockLocation.stripHostname,0.919608466,0.912596176,0.917221818,0.883591886,0.890406339,0.932205126
CmsContentService.getChangeHandlerScopes,0.92244826,0.928750734,0.945127711,0.905050753,0.935136162,0.92855226
FactoryThresholdBinary.localGaussian,0.9608546,0.947211466,0.957873,0.960581719,0.991927547,0.96532733
CmsDialogElements.computeElements,0.954273071,0.942368911,0.896386041,0.921252323,0.930552966,0.950749134
CoordSysBuilder.findCoordinateTransforms,0.988861616,0.977124053,0.987416745,0.977435009,0.992201473,0.977219508
ParallelStreamReader.performReads,0.759978937,0.781057933,0.842839324,0.766345842,0.700492632,0.701774598
FileReader.checkFile,0.839301236,0.838918928,0.793148193,0.854748279,0.793712412,0.963225565
SourceStreamTask.triggerCheckpoint,0.836572193,0.939312954,0.944571775,0.917809417,0.914479862,0.862987214
VariableIndex.getRecordAt,0.691501797,0.715432996,0.738239303,0.693698218,0.729834828,0.76359969
AsyncLoggerSet.waitForWriteQuorum,0.913874707,0.942577006,0.880764812,0.896882034,0.907234728,0.890515224
Resolve.notOverriddenIn,0.859603259,0.824856669,0.768445485,0.849291806,0.954854581,0.870326265
LazyValueMap.chopMap,0.79226319,0.794038601,0.905003072,0.886409027,0.896575672,0.88196595
QrCodeUtil.encode,0.885768117,0.926466907,0.869622385,0.837697498,0.920717206,0.935802671
ExampleTemplateMatching.showMatchIntensity,0.938982962,0.952005563,0.951890544,0.957038922,0.96601847,0.970287378
KinesisDataFetcher.registerShardMetrics,0.94123979,0.93285003,0.908742319,0.871252923,0.91006738,0.933336534
Formatter.formatMessage,0.91647131,0.927749745,0.920323726,0.909527231,0.917235347,0.924228204
MDLV3000Reader.readBondBlock,0.943672814,0.910029873,0.951341405,0.916580531,0.935583117,0.915366706
Period.moreThan,0.999943048,0.999893942,1,0.964373167,0.999877788,0.963492973
SaturationChecker.couldMatchAtomType,0.907604778,0.901926075,0.873466941,0.873650348,0.898716937,0.870363854
SquareGridTools.findIntersection,0.936101811,0.937052815,0.931595444,0.888662581,0.945360288,0.918486094
Config.setCacheEventJournalConfigs,0.999914832,0.999908514,0.999927064,0.999923762,1,0.999908913
MathUtil.binomialCoefficient,0.890924062,0.913461459,0.891732222,0.891336425,0.910249183,0.88837032
CmsEmbeddedDialogHandler.onSiteOrProjectChange,0.999900522,0.983140936,0.999905985,0.991734865,0.999893304,0.999891641
RingbufferService.getOrCreateContainer,0.887350249,0.903344814,0.889193314,0.882321281,0.891649227,0.879730872
MetadataType.getType,0.975649705,0.976130339,0.976380549,0.976085266,0.976142185,0.976169912
SubWriterHolderWriter.addInheritedSummaryHeader,0.991859739,0.99990582,0.977269984,0.991523244,0.977651327,0.99991268
RawLocalFileSystem.getFileCrc,0.927943984,0.926053997,0.894080174,0.921232764,0.931762083,0.917306002
RythmEngine.createEngine,0.926058204,0.917111661,0.943685292,0.953207063,0.956322409,0.972413018
XMLTokener.nextMeta,0.921161956,0.878849339,0.904589459,0.827934129,0.961555839,0.917381083
DefaultGroovyMethods.collect,0.999862201,1,0.999924876,0.99986256,1,1
StatementUtil.prepareCall,0.986184509,0.986472594,0.994995898,0.986158871,0.98619679,0.941270927
ErddapString2.toRational,0.869519668,0.839023959,0.821938759,0.845480939,0.827748362,0.834807746
CrossOperatorBase.executeOnCollections,0.964379224,0.969605237,0.992958136,0.964132529,0.981480461,0.957065115
DancingLinks.split,0.96519439,0.966642924,0.848159029,0.963426884,0.976989039,0.980483145
TableFactoryService.discoverFactories,0.902809208,0.92450968,0.928098937,0.931316677,0.939416105,0.889260467
Storage.writeAll,0.955254696,0.95556376,0.93896216,0.764742512,0.955425803,0.955195312
CmsObject.loginUser,0.9242393,0.854751971,0.85930333,0.83365737,0.922832181,0.884273046
UploadFileHeader.getContentType,0.915450879,0.918255575,0.907651245,0.918530903,0.929934516,0.919857693
GasteigerPEPEPartialCharges.assignGasteigerPiPartialCharges,0.835877747,0.882196673,0.750948191,0.835634533,0.84564526,0.837275689
TypeExtractor.createHadoopWritableTypeInfo,0.922236582,0.906253482,0.92213637,0.865992615,0.932714238,0.956894978
URI.indexFirstOf,0.985279292,0.985094702,0.929681809,0.985371771,0.988945158,0.985413484
ExampleLineDetection.detectLines,0.945114746,0.956036858,0.949380685,0.94663268,0.949945644,0.946598934
UserCodeDeploymentService.handleClassNotFoundException,0.772919768,0.875886773,0.815969062,0.800705208,0.831273428,0.952619636
CanonicalLabeler.breakTies,0.80847513,0.653566567,0.833027022,0.856088118,0.892669966,0.861872615
JsonOutput.getIndent,0.991051661,0.956891733,0.990789583,0.956418147,0.991004819,0.991085779
GribResourceReader.getInputStream,0.848792056,0.973674605,0.949200842,0.894871643,0.918609617,0.974608464
ConfusionMatrix.rowSum,0.978651955,0.978453775,0.997378945,0.992709624,0.997422872,0.978595938
SecureASTCustomizer.setReceiversClassesWhiteList,0.999894022,0.999876854,0.999929298,0.999889877,0.999863896,0.999892663
Partition.inSameCell,0.982017479,0.981780722,0.991010149,0.980885441,0.953054003,0.951503376
JavacTaskImpl.doCall,0.793474138,0.773951602,0.869545345,0.770951834,0.84750776,0.841256814
DownloadController.setup,0.809781258,0.885463421,0.905254159,0.854502278,0.978229483,0.781193974
ELKILauncher.main,0.725547199,0.832086865,0.847599371,0.780889197,0.859829191,0.84369058
DefaultJsonGenerator.writeMap,0.958761831,0.956271091,0.923880772,0.950430491,0.961291244,0.959278237
BaseAsymmetric.initKeys,0.995451162,0.995327068,0.872708393,0.878841205,0.856769206,0.984098259
ArrayUtils.append,0.873033125,0.893736509,0.969023227,0.876202921,0.969721381,0.892570902
OptionsSpiderPanel.getHandleODataSpecificParameters,0.994194897,0.994170717,0.988246771,0.99700421,0.992225896,0.994706141
QrCodeDecoderBits.applyErrorCorrection,0.849469904,0.901234862,0.887198924,0.879704124,0.874387276,0.862071361
MemoryFileManager.hasLocation,0.984080685,0.984006404,0.998138059,0.983745262,0.991162349,0.983624093
DefaultGroovyMethods.min,0.951074503,0.951541937,0.951416653,0.951450106,0.939278328,0.951626711
JavacMessages.instance,0.969271033,0.999914435,0.997209266,0.969970196,0.962873139,0.99993633
DataSet.squishToRange,0.929091439,0.914762864,0.971427909,0.929160949,0.970470831,0.926409339
StandardGenerator.generateAnnotation,0.913474905,0.858455088,0.875756286,0.87007366,0.931366773,0.841445033
TabbedPanel2.setTitleAt,0.983209672,0.968691033,0.97625953,0.936351864,0.93517679,0.967080211
HttpResponse.writeBody,0.861974506,0.834881608,0.809744356,0.859994783,0.841860202,0.940466755
NetworkBufferPool.destroyAllBufferPools,0.918302341,0.9598386,0.921460843,0.917161461,0.969859861,0.963767037
Packet.setPacketType,0.843639982,0.841560839,0.880621197,0.728944718,0.808789793,0.864638343
JdiInitiator.listenTarget,0.856694195,0.789691746,0.795713401,0.875969901,0.816303065,0.77547864
AvatarNode.getProtocolVersion,0.989765359,0.990140081,0.990058853,0.990260504,0.875866739,1
CmsSecurityManager.readOwner,0.994732765,0.99474851,0.987865545,0.994917191,0.983401933,0.99474851
File.getAbsolutePath,0.79944478,0.64611568,0.818928366,0.778256552,0.934519843,0.866082545
GHistogramFeatureOps.histogram,0.959938993,0.969550394,0.97372452,0.964455736,0.973011586,0.973590639
JavacParser.enumeratorDeclaration,0.81265194,0.874921565,0.890549947,0.927829817,0.926142935,0.937874632
WorkbenchPanel.setPanelsVisible,0.999863866,0.999905292,0.941543862,0.999898115,0.941308227,0.999861766
RStarTreeKNNQuery.batchNN,0.844149485,0.96151248,0.936359354,0.960252876,0.955041807,0.934599709
JavacParser.basicType,0.803155037,0.803155037,0.899159328,0.803524939,0.823909491,0.844949568
FastCopy.alignDatanodes,0.965287391,0.906499364,0.967144251,0.974206707,0.915369138,0.883573927
Invocation.initInvocationTarget,0.779393324,0.821870316,0.927744314,0.842794622,0.776825852,0.837963364
EnumUtil.getNames,0.99982408,0.99978984,0.999858358,0.999904795,0.999873119,1
AtomValenceDescriptor.calculate,0.90590535,0.908749241,0.987499432,0.90686463,0.987513884,0.906260255
ClusterManager.checkResourceRequestLimit,0.932913837,0.876846223,0.91688542,0.8786029,0.894853068,0.920170462
StaticTypeCheckingSupport.isAssignableTo,0.941712469,0.903060101,0.900748399,0.92619964,0.92033811,0.938174958
ClosureSignatureHint.pickGenericType,0.883254024,0.890455066,0.841664847,0.89226274,0.950013236,0.852653182
ServerView.inputChanged,0.987922957,0.958524804,0.886037439,0.922677647,0.968478832,0.987292676
HttpPrefixFetchFilter.normalisedPort,0.935882587,0.906029206,0.956229145,0.911383147,0.903913813,0.937223906
CmsProperty.isIdentical,0.942817224,0.913698169,0.942919393,0.923965192,0.942324341,0.92458851
ElasticsearchUtils.convertInetSocketAddresses,0.957311532,0.951660256,0.912842208,0.959636992,0.97256229,0.976376188
CanvasSize.clipToMargin,0.935968611,0.934886976,0.900134643,0.925576078,0.899436604,0.912795363
SameSizeKMeansAlgorithm.initializeMeta,0.954196679,0.968253053,0.964964052,0.967806282,0.933427148,0.987469493
ScanProgressDialog.getJScrollPane,0.934069139,0.94210883,0.921315586,0.94208487,0.932304012,0.942405878
ProcessGroovyMethods.consumeProcessErrorStream,0.999877331,0.999890702,0.979167358,0.98278072,0.999905785,0.98259713
JumboCyclicVertexSearch.toArray,0.989991032,0.990027583,0.989821839,0.989212731,0.893816316,0.989255305
GradientSobel_UnrolledOuter.process_F32_sub,0.966777905,0.971419693,0.964558519,0.967111493,0.97620474,0.965518012
GammaDistribution.logpdf,0.968888884,0.957746091,0.983333046,0.9708311,0.981847509,0.979588385
AbstractMapWritable.write,0.854819221,0.842070424,0.750247632,0.879573471,0.897593002,0.916187217
SiteMap.handleEvent,0.941492217,0.926265936,0.940913632,0.893329577,0.892109805,0.864568839
CommonCache.clearAll,0.609887731,0.855588128,0.991742255,0.718782474,0.916241452,0.848805005
Utils.findClass,0.90100038,0.878128082,0.918854786,0.871914191,0.936011995,0.933696722
TimeSeriesUtils.reshapeTimeSeriesMaskToVector,0.942737174,0.948400404,0.990429646,0.937703272,0.958475817,0.943863053
Config.getMapEventJournalConfig,0.999893538,1,0.999940851,0.99988727,0.999892498,0.999940679
Sql.executeQuery,0.999864742,0.940840109,0.999864742,0.999859383,0.999907792,0.999921337
UPropertyAliases.getPropertyName,0.936675776,0.988944805,0.988918343,0.947434691,0.988853415,0.988923829
FactoryPyramid.discreteGaussian,0.944793532,0.96568663,0.837601346,0.902462935,0.965856624,0.941663928
CmsPropertyAdvanced.buildEditForm,0.822515301,0.868880136,0.862509534,0.850139909,0.881882474,0.853781284
Number.operate,0.964836435,0.999926451,0.986515788,0.990471154,0.961337557,0.99991105
Script.println,0.977416841,0.927123663,0.95801221,0.97773651,0.977725553,0.927605372
Graph.dfs,0.920036339,0.907810626,0.932436883,0.917625176,0.920605282,0.923374055
ExtensionHook.getHttpSenderListeners,0.999929509,0.999906532,1,1,0.99988913,1
SourceTreeManager.getSourceTree,0.882395192,0.897151562,0.932087446,0.887017461,0.933319561,0.877519058
ByteVector.getBytes,0.658129895,0.672071266,0.553618632,0.516082596,0.683190769,0.790951267
SubstructureFingerprinter.setSmarts,0.85602561,0.919009717,0.818473294,0.955580835,0.904929699,0.865660431
IdentityTemplateLibrary.encodeCoordinates,0.9149595,0.916398738,0.961687355,0.924543383,0.939697203,0.899938387
FindDialog.getJPanel1,0.995679901,0.995832977,0.9954071,0.995689469,0.995415385,0.995832977
LabelAwareUimaSentenceIterator.currentLabel,0.808805184,0.861684278,0.878972048,0.731298837,0.872227463,0.948097527
Convert.toSBC,0.956356268,0.96156438,0.966160311,0.956610812,0.962914002,0.95889367
DenseFlowPyramidBase.interpolateFlowScale,0.865510364,0.906979076,0.803949605,0.832597384,0.926651476,0.923870082
KeyedStream.validateKeyTypeIsHashable,0.809158865,0.855243087,0.927707455,0.760105733,0.906878929,0.935064871
MandatoryWarningHandler.reportDeferredDiagnostic,0.882950688,0.906367942,0.879499559,0.859651625,0.892990643,0.950574706
TagletManager.initCustomTaglets,0.935310645,0.898864525,0.911175017,0.953125674,0.857417505,0.94084366
ObjectOutputStream.writeClassDesc,0.94032945,0.964679337,0.972680146,0.96456097,0.977563775,0.966248402
JavacParser.annotationValue,0.891062522,0.838494847,0.890095396,0.83964126,0.917403094,0.967973711
MathUtils.xVals,0.96736166,0.98136497,0.967683981,0.960965877,0.97461538,0.977370453
DBOutputFormat.getRecordWriter,0.932857118,0.933840121,0.898553241,0.955586694,0.945680528,0.960103111
Instance.allocateSimpleSlot,0.982144656,0.983988566,0.994864133,0.960345375,0.996237516,0.984056571
ClassPathResource.initUrl,0.838905343,0.869385004,0.848845018,0.759911832,0.892069344,0.856872783
MAMatrix.dot,0.968446803,0.952478455,0.961849186,0.982437776,0.969308809,0.954093622
IntegralImageOps.convolve,0.995041529,0.994508329,0.994771873,0.994266764,0.99420686,0.994051899
CmsHistoryProject.getPublishedByName,0.874764455,0.876913006,0.999913608,0.876760722,0.999879761,0.916332286
CacheUtil.getPrefixedCacheName,0.872916528,0.872692843,0.872365597,0.873349479,0.871277187,0.873545151
MapKeyLoaderUtil.getMaxSizePerNode,0.949425098,0.93423839,0.895932928,0.881300211,0.942750035,0.914667686
AggregateOperationFactory.createResolvedWindow,0.961885664,0.952776713,0.949399561,0.945167119,0.930896285,0.918294515
OrientationHistogramSift.computeHistogram,0.836420696,0.863673571,0.889868709,0.852441082,0.875991443,0.861003186
CassandraOutputFormatBase.open,0.918815147,0.930313217,0.75190401,0.875825217,0.927844569,0.941445836
CmsFileExplorer.onClickNew,0.917735666,0.946940671,0.943372782,0.937696739,0.93451563,0.945608893
Group.addEnumeration,0.921413275,0.922243671,0.94434279,0.881073644,0.999843963,0.952395294
ExpressionUtils.transformBinaryConstantExpression,0.86440376,0.851518246,0.859371368,0.88494507,0.857108025,0.874448214
SegmentSlic.perturbCenter,0.956543793,0.930122599,0.939221355,0.924048735,0.939974462,0.943950615
GeneralPurposeFFT_F32_1D.realForwardFull,0.972716169,0.961372699,0.963552287,0.939260204,0.954935341,0.963872706
CDMNode.unwrap,0.93401043,0.913250621,0.860486072,0.895417632,0.899678936,0.914971047
DSequence.externalize,0.815499532,0.868205343,0.805277852,0.84161139,0.789321006,0.808316477
AddOnInstaller.getFilesSafeForUninstall,0.923126725,0.93349652,0.910196217,0.911469929,0.935600302,0.947930346
Broadcast.add,0.99655252,1,0.996511001,0.996735572,0.999913537,0.996683639
ConfigValidator.checkAndLogPropertyDeprecated,0.882036205,0.827779802,0.958719729,0.867599741,0.963693304,0.958898876
AntlrParserPlugin.mapExpression,0.882810643,0.866340716,0.923839814,0.881575155,0.949782929,0.924260826
Expression.error,0.981331886,0.960751481,0.964146021,0.981072082,0.977189819,0.974449474
GroovyCollections.subsequences,0.91630616,0.915008577,0.879581485,0.916613376,0.883561045,0.901447088
CmsRemoteShellClient.executeCommand,0.851321334,0.930868095,0.889970901,0.835031686,0.745684935,0.80401218
Config.addEventJournalConfig,0.993806807,0.996473002,0.98759117,0.927950147,0.994978559,0.994286716
NetUtils.getIPv6UrlRepresentation,0.915691391,0.887301312,0.923381112,0.880259204,0.955235355,0.913930336
ExtensionAuthentication.getAuthenticationMethodTypeForIdentifier,0.988951009,0.961640711,0.96678017,0.98845994,0.988831078,0.962494853
Navigation.wantRotate,0.731677098,0.75462512,0.738573054,0.766343872,0.749815682,0.735034833
FPGrowth.run,0.914909894,0.909585232,0.896459419,0.905026736,0.889428818,0.89822285
StatisticsEditsVisitor.visit,0.895236901,0.910852423,0.915448138,0.898929119,0.933545805,0.877238949
MLLibUtil.toClassifierPrediction,0.966628225,0.957995109,0.964174632,0.961453331,0.967442437,0.965798563
ExceptionProxy.checkAndThrowException,0.820336793,0.892056423,0.765493306,0.71245646,0.801630882,0.708841408
CameraPlaneProjection.setIntrinsic,0.999924572,0.999881698,0.812992962,0.828370144,0.828249095,0.884701548
AbstractIndexWriter.addDescription,0.950460914,0.946202157,0.890179779,0.947992774,0.900546402,0.944885427
NormalizedKeySorter.readPointer,0.868692933,0.905856004,0.903842724,0.910395373,0.948469207,0.926970101
URI.removeFragmentIdentifier,0.923192402,0.92492467,0.92361266,0.924719736,0.922876595,0.94499623
DataDescriptorTreeConstructor.replicate,0.802185218,0.775724479,0.850070386,0.775611448,0.83321137,0.776220933
ArrayUtil.setOrAppend,0.958011433,0.959907393,0.967830263,0.942444275,0.967291339,0.959238775
GDiscreteFourierTransformOps.phase,0.998576655,0.998579434,0.992706754,0.998560003,0.998432509,0.998551482
LocalDate.atStartOfDay,0.864456971,0.893407576,0.931185238,0.93374432,0.930362727,0.955176368
UtilLepetitEPnP.jacobian_Control4,0.99990017,0.982607935,0.980325108,0.999947397,0.986413124,0.999899101
Calendar.setTimeZone,0.777061968,0.817521907,0.732777595,0.762224854,0.693913952,0.691710733
DefaultConvention.findCoordinateName,0.925905216,0.938082734,0.961415926,0.958262345,0.968676186,0.955418881
View.showSessionDialog,0.892481973,0.892354474,0.907837839,0.913829392,0.83636761,0.789902749
InternalPartitionServiceImpl.updatePartitionsAndFinalizeMigrations,0.929696748,0.920864717,0.873049846,0.873348465,0.874339417,0.915431238
JsonSlurper.parse,0.855001807,0.898651323,0.80331591,0.806770126,0.849151914,0.89752107
BinaryExternalSorter.close,0.793341148,0.73063436,0.754866102,0.808437838,0.797896318,0.847302294
CmsPublishEngine.checkCurrentPublishJobThread,0.889261778,0.953912572,0.890542719,0.912485688,0.846869669,0.927493034
AbstractParamDialog.getBtnOK,0.954808126,0.957850274,0.940838889,0.962508837,0.946355576,0.966449941
LoggingUtil.exception,0.999910953,0.99987978,0.997057514,0.99986617,0.996596424,0.996879409
DisparityToColorPointCloud.configure,0.919903318,0.920749788,0.950614732,0.926042929,0.956556312,0.920749788
CardinalityEstimatorContainer.merge,0.377531564,0.913150298,0.902762629,0.902395287,0.888209317,0.914577378
DeprecatedListWriter.generateDeprecatedListFile,0.929138763,0.923999064,0.902679115,0.883494499,0.909704804,0.908225649
ProcfsBasedProcessTree.getCumulativeCpuTime,0.933775819,0.940542746,0.915706363,0.932102761,0.931678147,0.902190645
DataSet.leftOuterJoin,0.999912183,0.999901111,0.996594385,0.999884008,0.996803149,0.999594435
Extension.encode,0.942927816,0.92884,0.976390039,0.955696096,0.954833311,0.929242814
AbstractNode.addLeafEntry,0.999906185,0.999882004,0.999888838,0.999868954,0.999871479,1
QueueContainer.offerBackup,1,1,0.997865294,0.999924362,0.997838378,0.999881128
DapSerializer.writeAtomicVariable,0.897931902,0.894465281,0.91377187,0.894646697,0.898213621,0.892487774
BinaryImageOps.clusterToBinary,0.958909515,0.959355008,0.988570024,0.959235561,0.988901069,0.987798066
SearchIterator.previous,0.941052271,0.915219873,0.925666008,0.940889164,0.92852436,0.909027582
RuleBasedTransliterator.safeClone,0.997931414,0.903105567,0.985347043,0.981952185,0.999540732,0.997760819
KeyUtil.getAlgorithmAfterWith,0.950334801,0.949495315,0.945737457,0.949093047,0.929124857,0.942211986
ExecutionJobVertex.connectToPredecessors,0.869440698,0.869895213,0.868316955,0.847578598,0.945974543,0.907687587
HydrogenAtom.matches,0.874687356,0.851856424,0.853083366,0.863564058,0.842353998,0.882881546
FsStateBackend.createCheckpointStorage,0.877035455,0.89949763,0.947971688,0.900467482,0.920093071,0.911050842
VersionCheck.checkVersions,0.80754604,0.853254539,0.826804943,0.830554712,0.857663382,0.859654155
FindDialog.getBtnCancel,0.931692961,0.987280297,0.981851689,0.988388594,0.987425881,0.978816286
JShellTool.printEvalException,0.892153155,0.69918844,0.897685471,0.869133495,0.88793,0.88249441
CmsXmlGroupContainer.fillResource,0.847477853,0.907720753,0.771433915,0.837636682,0.933569589,0.938715213
