func_name,deepseekv3.2_ires,deepseekv4-flash_ires,Qwen3-Coder-30B-A3B-Instruct_ires,gpt-5.4-mini_ires,Qwen3-32B_ires,gemini-3.1-flash-lite-preview_ires
RangeDateSelector.synchUI,0.923656083,0.860824102,0.918253709,0.861253196,0.923535239,0.904501425
MetaClassImpl.getMethods,0.954494698,0.956159455,0.960047639,0.937286735,0.957308179,0.945103442
TextWriter.output,0.850484568,0.864076982,0.861627296,0.875490052,0.861174093,0.848948262
CmsSearchTab.removeParameter,0.979154663,0.967216075,0.969253752,0.979816618,0.977359924,0.933833823
EigenvalueDecomposition.getD,0.945321887,0.944891889,0.947535266,0.980287781,0.947410471,0.932803142
Calendar.getPatternData,0.980782874,0.983920725,0.971270719,0.939408196,0.96315358,0.957426205
Types.TUPLE,0.94558004,0.934754956,0.933596732,0.941898298,0.945374286,0.941148396
GammaDistribution.chisquaredProbitApproximation,0.905571992,0.894266051,0.906924933,0.909407759,0.907994178,0.882109612
HBondAcceptorCountDescriptor.calculate,0.95748178,0.95720143,0.929444265,0.957458317,0.962081781,0.953938817
SubWriterHolderWriter.addMemberTree,0.985176927,0.982137421,0.981828001,0.977952645,0.978697199,0.965391609
Main.error,0.84673338,0.853857624,0.901789428,0.871233027,0.845495427,0.89005974
RemoteEnvironment.execute,0.959865781,0.978449574,0.970353303,0.906261277,0.971006341,0.942427027
Broker.getAndRemove,0.952096066,0.899715488,0.875393068,0.854134951,0.952502001,0.855147107
AtomicAllocator.getConfiguration,0.920797125,0.999867435,0.921746268,0.924508141,0.999853342,0.955698606
HashUtil.bernstein,0.994020542,0.994278826,0.993859284,0.777300881,0.996579779,0.996621884
NFAStateSerializer.serializeComputationStates,0.995123937,0.995322938,0.99544507,0.99546639,0.99521603,0.995255785
ClassWriter.writeInnerClasses,0.936965004,0.941840269,0.951314067,0.970414616,0.949086769,0.909916761
StructureDiagramGenerator.placeSgroupBrackets,0.863869804,0.90311833,0.897270024,0.941737697,0.951049514,0.929263809
ExampleLineDetection.detectLineSegments,0.972822657,0.986128686,0.947832311,0.964485394,0.977512356,0.956596469
FileAppender.append,0.902913086,0.964805429,0.964697461,0.964411354,0.902460277,0.964078373
AbstractMTreeNode.integrityCheck,0.900854131,0.852062624,0.715360365,0.805828037,0.899676,0.74302321
GIntegralImageOps.convolve,0.995190743,0.996099195,0.994659942,0.997310383,0.9945269,0.997192277
RestApiConfig.disableGroups,0.999877357,0.99988662,0.999896727,0.999944357,1,0.999893984
StaticTypeCheckingVisitor.checkOrMarkPrivateAccess,0.853408711,0.849104098,0.849349229,0.903792344,0.844833825,0.847604018
UrlResource.readStr,0.844662223,0.768039703,0.844112762,0.981418203,0.844140341,0.910202698
CacheSimpleConfig.setCacheWriterFactory,0.999859473,0.999886162,0.99982756,0.999801535,0.995227895,0.999889977
VariableScopeVisitor.pushState,0.888722873,0.869312646,0.872065626,0.849558894,0.930435486,0.840590572
GeneralizedLogisticAlternateDistribution.pdf,0.898733818,0.884639906,0.921314487,0.90558815,0.895625856,0.931875424
Security.getProviderProperty,0.828918642,0.838212323,0.861782037,0.854105039,0.832733019,0.847368009
QueueContainer.txnCommitPollBackup,0.878850323,0.953831499,0.953408337,0.885759643,0.887794907,0.948611502
Selector.getSelector,0.91602842,0.946400363,0.943575958,0.944568528,0.941841967,0.927414691
MarkedElement.markupMol,0.976650854,1,0.976338062,0.864283216,0.999901151,0.999905536
SMARTSAtomInvariants.configureDaylightWithRingInfo,0.999951548,0.999915417,0.999899556,0.999915417,0.999889718,0.999912194
SparkEMRClient.createCluster,0.756484157,0.886011973,0.84947952,0.886195814,0.800995656,0.906956192
FactoryMultiView.bundleSparseMetric,0.94408003,0.974042918,0.960707613,0.978014327,0.943660777,0.956010017
MatchOps.makeRef,0.997242712,0.996286816,0.987559026,0.999884613,0.998102453,1
MutableProgress.setTotal,0.952851102,0.940569121,0.914309503,0.919713115,0.952497274,0.966278992
HttpSessionsPanel.setSessionsTableColumnSizes,0.962186586,0.93335806,0.958710885,0.916916588,0.9595037,0.932487081
XLogPDescriptor.getDoubleBondedNitrogenCount,0.975715066,0.989854213,0.989354024,0.988289354,0.987520996,0.987592104
ClientConfig.addNearCacheConfig,0.926283035,0.920831949,0.999846845,0.857330807,0.927058014,0.99991588
NioGroovyMethods.write,0.883341938,0.902882521,0.934696668,0.928298223,0.900535124,0.940299925
HadoopBlockLocation.stripHostname,0.872147995,0.891691747,0.914398297,0.883635434,0.883591886,0.850736718
CmsContentService.getChangeHandlerScopes,0.904848615,0.91293604,0.949300101,0.936405813,0.905050753,0.928134268
FactoryThresholdBinary.localGaussian,0.964690914,0.994752784,0.988431134,0.999914597,0.960581719,0.994499332
CmsDialogElements.computeElements,0.931164141,0.971842405,0.933657999,0.949950035,0.921252323,0.93005902
CoordSysBuilder.findCoordinateTransforms,0.977447662,0.992750772,0.962783971,0.986870463,0.977435009,0.975496618
ParallelStreamReader.performReads,0.765316582,0.803976511,0.813608779,0.742482728,0.766345842,0.777338935
FileReader.checkFile,0.855429447,0.89518847,0.823617296,0.890149783,0.854748279,0.792287806
SourceStreamTask.triggerCheckpoint,0.87409434,0.933300813,0.883861855,0.907140332,0.917809417,0.846633087
VariableIndex.getRecordAt,0.711955376,0.682129198,0.704553552,0.817276006,0.693698218,0.673623577
AsyncLoggerSet.waitForWriteQuorum,0.810326873,0.882773676,0.855333785,0.892003859,0.896882034,0.916527201
Resolve.notOverriddenIn,0.818841086,0.888324733,0.863441517,0.800107089,0.849291806,0.837531081
LazyValueMap.chopMap,0.889189826,0.806105536,0.864032141,0.845700575,0.886409027,0.854587426
QrCodeUtil.encode,0.823704086,0.922382972,0.834810229,0.913056864,0.837697498,0.937572952
ExampleTemplateMatching.showMatchIntensity,0.942083178,0.945418486,0.967577947,0.944249492,0.957038922,0.935142199
KinesisDataFetcher.registerShardMetrics,0.876041892,0.90738924,0.924021833,0.881545359,0.871252923,0.903016783
Formatter.formatMessage,0.919059694,0.993430438,0.942586819,0.966036078,0.909527231,0.993588659
MDLV3000Reader.readBondBlock,0.918631775,0.959027712,0.934330665,0.884335987,0.916580531,0.911466337
Period.moreThan,0.963442197,0.964202108,0.961383618,0.677936462,0.964373167,0.963419599
SaturationChecker.couldMatchAtomType,0.875657665,0.91061809,0.899937688,0.884818145,0.873650348,0.894445664
SquareGridTools.findIntersection,0.887571448,0.915435968,0.935103256,0.952400355,0.888662581,0.877417717
Config.setCacheEventJournalConfigs,0.999943901,0.999919767,0.999915312,0.999923762,0.999923762,0.99988959
MathUtil.binomialCoefficient,0.904002272,0.906084519,0.90490288,0.942294493,0.891336425,0.922623391
CmsEmbeddedDialogHandler.onSiteOrProjectChange,1,0.999948389,0.999905985,0.99987775,0.991734865,0.977147229
RingbufferService.getOrCreateContainer,0.89255103,0.897996558,0.874662774,0.899319175,0.882321281,0.876345541
MetadataType.getType,0.976269757,0.921370723,0.976112182,0.926777617,0.976085266,0.977059376
SubWriterHolderWriter.addInheritedSummaryHeader,1,0.99990582,0.977583367,0.999852118,0.991523244,0.999864317
RawLocalFileSystem.getFileCrc,0.906575152,0.941548758,0.91789481,0.943086965,0.921232764,0.898905518
RythmEngine.createEngine,0.936386323,0.97604885,0.743429597,0.97531888,0.953207063,0.946352208
XMLTokener.nextMeta,0.839986846,0.891231715,0.862118005,0.890923971,0.827934129,0.984574826
DefaultGroovyMethods.collect,0.999904941,0.999862201,0.999913316,0.999803455,0.99986256,0.999870947
StatementUtil.prepareCall,0.986106162,0.995696373,0.994978628,0.995465086,0.986158871,0.986289399
ErddapString2.toRational,0.857476233,0.779797901,0.812600876,0.857925253,0.845480939,0.83988548
CrossOperatorBase.executeOnCollections,0.966081421,0.958052139,0.995490037,0.995131774,0.964132529,0.97979874
DancingLinks.split,0.962630045,0.967904809,0.815155804,0.925070356,0.963426884,0.853450115
TableFactoryService.discoverFactories,0.928026383,0.88696382,0.921209792,0.937750595,0.931316677,0.919960623
Storage.writeAll,0.765312721,0.76373124,0.763570053,0.528452961,0.764742512,0.765031059
CmsObject.loginUser,0.827142191,0.871786112,0.852270755,0.734105364,0.83365737,0.912996931
UploadFileHeader.getContentType,0.918287749,0.925908485,0.939973146,0.953048994,0.918530903,0.946070534
GasteigerPEPEPartialCharges.assignGasteigerPiPartialCharges,0.805631069,0.844454156,0.741170024,0.788777587,0.835634533,0.785367857
TypeExtractor.createHadoopWritableTypeInfo,0.903691192,0.934620043,0.930139794,0.956301246,0.865992615,0.894478677
URI.indexFirstOf,0.98495218,0.930013369,0.929411115,0.978622633,0.985371771,0.968833916
ExampleLineDetection.detectLines,0.94847892,0.949008961,0.908397639,0.920677309,0.94663268,0.935048412
UserCodeDeploymentService.handleClassNotFoundException,0.815290065,0.763339928,0.82710992,0.833031981,0.800705208,0.775857646
CanonicalLabeler.breakTies,0.846111207,0.784341464,0.760646425,0.816357411,0.856088118,0.832647531
JsonOutput.getIndent,0.957423435,0.991127099,0.990805669,0.987460956,0.956418147,0.956125332
GribResourceReader.getInputStream,0.89102925,0.844400795,0.836541792,0.898230533,0.894871643,0.864144356
ConfusionMatrix.rowSum,0.978795544,0.998080472,0.992873124,0.797443745,0.992709624,0.997985271
SecureASTCustomizer.setReceiversClassesWhiteList,0.999892524,0.999916645,0.999861656,1,0.999889877,1
Partition.inSameCell,0.981673589,0.98167042,0.99063821,0.957998212,0.980885441,0.981528168
JavacTaskImpl.doCall,0.779485921,0.808437113,0.816346419,0.806443285,0.770951834,0.775432714
DownloadController.setup,0.838702897,0.886747609,0.823379532,0.901480775,0.854502278,0.899797538
ELKILauncher.main,0.800491974,0.719351332,0.775671167,0.810447902,0.780889197,0.752465232
DefaultJsonGenerator.writeMap,0.937780953,0.949170331,0.947501254,0.945250452,0.950430491,0.943015211
BaseAsymmetric.initKeys,0.877361369,0.885105515,0.859545701,0.956623194,0.878841205,0.899846525
ArrayUtils.append,0.883216642,0.96557412,0.969692993,0.912768372,0.876202921,0.966027965
OptionsSpiderPanel.getHandleODataSpecificParameters,0.990124878,0.992496818,0.991313321,0.993839855,0.99700421,0.991756909
QrCodeDecoderBits.applyErrorCorrection,0.868599496,0.877563086,0.837862915,0.875397949,0.879704124,0.886086992
MemoryFileManager.hasLocation,0.983313003,0.984131324,0.997962178,0.802855691,0.983745262,0.997748823
DefaultGroovyMethods.min,0.951903383,0.95131203,0.950812357,0.951760771,0.951450106,0.984648655
JavacMessages.instance,0.969526019,0.968888542,0.96153514,0.929558721,0.969970196,0.967527428
DataSet.squishToRange,0.92913208,0.971487354,0.970948471,0.956199525,0.929160949,0.954694481
StandardGenerator.generateAnnotation,0.88315492,0.886154258,0.9061073,0.905361091,0.87007366,0.889317464
TabbedPanel2.setTitleAt,0.922293115,0.933247611,0.928104136,0.798459753,0.936351864,0.940167952
HttpResponse.writeBody,0.864670897,0.886430579,0.879318722,0.917427016,0.859994783,0.890957676
NetworkBufferPool.destroyAllBufferPools,0.911129987,0.934287263,0.943366815,0.923950042,0.917161461,0.903360718
Packet.setPacketType,0.758623047,0.844334257,0.569089394,0.726377578,0.728944718,0.716833262
JdiInitiator.listenTarget,0.851786336,0.868922169,0.813720395,0.865412761,0.875969901,0.795143836
AvatarNode.getProtocolVersion,0.990008264,0.989966122,0.989754245,0.989857753,0.990260504,0.989918399
CmsSecurityManager.readOwner,0.994974805,0.994341527,0.994286074,0.995004436,0.994917191,0.994979115
File.getAbsolutePath,0.778282265,0.762991952,0.778164772,0.894655607,0.778256552,0.713838719
GHistogramFeatureOps.histogram,0.955568294,0.965691342,0.965711504,0.962741359,0.964455736,0.967566727
JavacParser.enumeratorDeclaration,0.896611112,0.928462366,0.902073264,0.852283752,0.927829817,0.919637799
WorkbenchPanel.setPanelsVisible,0.999905292,0.999854409,0.940545695,0.999899377,0.999898115,0.999916055
RStarTreeKNNQuery.batchNN,0.92740238,0.937797158,0.946028166,0.942257362,0.960252876,0.93517313
JavacParser.basicType,0.803357947,0.784651687,0.781633969,0.801317459,0.803524939,0.779151324
FastCopy.alignDatanodes,0.974237283,0.970789244,0.978697356,0.970646255,0.974206707,0.905813809
Invocation.initInvocationTarget,0.821770486,0.787310423,0.797837126,0.847810468,0.842794622,0.742785594
EnumUtil.getNames,0.999874238,0.999874238,0.999893546,0.999893546,0.999904795,0.999872236
AtomValenceDescriptor.calculate,0.906520618,0.952681401,0.987479962,0.746090791,0.90686463,0.983587399
ClusterManager.checkResourceRequestLimit,0.899642587,0.895526615,0.904574713,0.919829666,0.8786029,0.924656789
StaticTypeCheckingSupport.isAssignableTo,0.918105202,0.886361124,0.904908567,0.900930622,0.92619964,0.901025493
ClosureSignatureHint.pickGenericType,0.881181796,0.885442548,0.93798298,0.894600186,0.89226274,0.974930956
ServerView.inputChanged,0.923075494,0.842149975,0.967258919,0.816859742,0.922677647,0.821956972
HttpPrefixFetchFilter.normalisedPort,0.911289815,0.92564931,0.912273899,0.933185514,0.911383147,0.932966622
CmsProperty.isIdentical,0.925170952,0.924288336,0.924536599,0.923542301,0.923965192,0.897462452
ElasticsearchUtils.convertInetSocketAddresses,0.959313091,0.971598956,0.953669505,0.953802597,0.959636992,0.957221266
CanvasSize.clipToMargin,0.922120492,0.925479814,0.907361,0.907802225,0.925576078,0.902288578
SameSizeKMeansAlgorithm.initializeMeta,0.949161386,0.95108683,0.966660693,0.986889093,0.967806282,0.939904092
ScanProgressDialog.getJScrollPane,0.941834111,0.941883149,0.935116024,0.942134162,0.94208487,0.945136634
ProcessGroovyMethods.consumeProcessErrorStream,0.982682771,0.978530469,0.978743151,0.97891799,0.98278072,0.955947581
JumboCyclicVertexSearch.toArray,0.989322535,0.99040489,0.989982867,0.989640445,0.989212731,0.990559064
GradientSobel_UnrolledOuter.process_F32_sub,0.983957491,0.979326061,0.956904266,0.981295697,0.967111493,0.961777011
GammaDistribution.logpdf,0.959742831,0.976656171,0.982676441,0.984574817,0.9708311,0.8962227
AbstractMapWritable.write,0.889941995,0.88923881,0.895027881,0.831142225,0.879573471,0.889670436
SiteMap.handleEvent,0.9051047,0.927144434,0.945039801,0.907882206,0.893329577,0.875750794
CommonCache.clearAll,0.76071566,0.944054,0.991788865,0.999856404,0.718782474,0.991957109
Utils.findClass,0.901827545,0.895461139,0.845798996,0.873074363,0.871914191,0.845834652
TimeSeriesUtils.reshapeTimeSeriesMaskToVector,0.930559883,0.976862478,0.963728808,0.935184129,0.937703272,0.977943417
Config.getMapEventJournalConfig,0.999889188,0.9999409,0.995558018,0.999900009,0.99988727,0.999913453
Sql.executeQuery,0.999889507,0.999900379,0.999866755,0.999855166,0.999859383,0.999862645
UPropertyAliases.getPropertyName,0.942694239,0.973864807,0.94778579,0.984337475,0.947434691,0.94212832
FactoryPyramid.discreteGaussian,0.895486469,0.916536159,0.911263251,0.807431087,0.902462935,0.897805417
CmsPropertyAdvanced.buildEditForm,0.827495597,0.853124332,0.880886784,0.884204177,0.850139909,0.811156094
Number.operate,0.990404888,0.960811646,0.960922443,0.946723168,0.990471154,0.986923898
Script.println,0.977318059,0.977528005,0.977043384,0.82810687,0.97773651,0.978104208
Graph.dfs,0.917492818,0.921893257,0.88587019,0.898993198,0.917625176,0.909775134
ExtensionHook.getHttpSenderListeners,0.999909234,0.999909234,0.99990469,0.510580702,1,0.999892811
SourceTreeManager.getSourceTree,0.900585125,0.884576056,0.940631849,0.885901251,0.887017461,0.93757061
ByteVector.getBytes,0.515805801,0.520244484,0.536050746,0.536922632,0.516082596,0.628290948
SubstructureFingerprinter.setSmarts,0.858093434,0.958738907,0.956842272,0.942982871,0.955580835,0.824103155
IdentityTemplateLibrary.encodeCoordinates,0.913673214,0.908330775,0.917275651,0.918175445,0.924543383,0.929024346
FindDialog.getJPanel1,0.99576094,0.965774228,0.995724879,0.995781019,0.995689469,0.995703882
LabelAwareUimaSentenceIterator.currentLabel,0.726833028,0.740016037,0.765770319,0.865724311,0.731298837,0.724015853
Convert.toSBC,0.956220458,0.976831392,0.966547087,0.977026683,0.956610812,0.988623316
DenseFlowPyramidBase.interpolateFlowScale,0.831992832,0.812007657,0.89862084,0.847927375,0.832597384,0.904370324
KeyedStream.validateKeyTypeIsHashable,0.77645964,0.765098447,0.834850612,0.845373809,0.760105733,0.829365254
MandatoryWarningHandler.reportDeferredDiagnostic,0.840141053,0.896542027,0.877728193,0.932546365,0.859651625,0.858194181
TagletManager.initCustomTaglets,0.93731913,0.943817325,0.945034067,0.92587243,0.953125674,0.958270955
ObjectOutputStream.writeClassDesc,0.957771001,0.954198936,0.942059957,0.9790641,0.96456097,0.96933889
JavacParser.annotationValue,0.857054931,0.858114046,0.857644822,0.850605056,0.83964126,0.850536349
MathUtils.xVals,0.964553801,0.961452668,0.961318521,0.968550889,0.960965877,0.968071184
DBOutputFormat.getRecordWriter,0.944770851,0.960827503,0.963324537,0.938543201,0.955586694,0.959123158
Instance.allocateSimpleSlot,0.966751617,0.995845,0.994665353,0.909424871,0.960345375,0.975360182
ClassPathResource.initUrl,0.776687214,0.844971518,0.807309187,0.853539982,0.759911832,0.835897815
MAMatrix.dot,0.962233211,0.982682859,0.982929493,0.966396483,0.982437776,0.982094195
IntegralImageOps.convolve,0.999916557,0.994831308,0.994759938,0.999910692,0.994266764,0.994495585
CmsHistoryProject.getPublishedByName,0.916751729,0.915914372,0.999901539,1,0.876760722,0.99995153
CacheUtil.getPrefixedCacheName,0.873374237,0.872057372,0.872773015,0.873374237,0.873349479,0.873446693
MapKeyLoaderUtil.getMaxSizePerNode,0.881318219,0.883491334,0.938093907,0.95847845,0.881300211,0.874587724
AggregateOperationFactory.createResolvedWindow,0.944204708,0.934388826,0.942738219,0.933861076,0.945167119,0.94204164
OrientationHistogramSift.computeHistogram,0.838519048,0.857612745,0.857342336,0.886181382,0.852441082,0.854735525
CassandraOutputFormatBase.open,0.876552802,0.730452936,0.916481547,0.895557543,0.875825217,0.901699259
CmsFileExplorer.onClickNew,0.93764452,0.946453942,0.935661187,0.943767208,0.937696739,0.947298304
Group.addEnumeration,0.88019301,0.905775365,0.862068884,0.765711427,0.881073644,0.960709802
ExpressionUtils.transformBinaryConstantExpression,0.860971751,0.838254842,0.840418236,0.885361924,0.88494507,0.846263024
SegmentSlic.perturbCenter,0.938490356,0.942158281,0.936014481,0.962653681,0.924048735,0.940632757
GeneralPurposeFFT_F32_1D.realForwardFull,0.912084497,0.922054935,0.971478809,0.967970622,0.939260204,0.961586689
CDMNode.unwrap,0.903059123,0.914442385,0.859813916,0.879722316,0.895417632,0.868763084
DSequence.externalize,0.841745282,0.794644255,0.841515134,0.734312333,0.84161139,0.778471058
AddOnInstaller.getFilesSafeForUninstall,0.913126914,0.93621636,0.908073738,0.89584531,0.911469929,0.934760797
Broadcast.add,0.999879363,0.99992909,0.996395907,0.874074019,0.996735572,0.987852297
ConfigValidator.checkAndLogPropertyDeprecated,0.87470266,0.941358247,0.863584767,0.864722768,0.867599741,0.902709701
AntlrParserPlugin.mapExpression,0.87644341,0.895664432,0.891208836,0.880192227,0.881575155,0.946872149
Expression.error,0.974351353,0.96146364,0.96069091,0.924362937,0.981072082,0.967001445
GroovyCollections.subsequences,0.916200546,0.900276883,0.913217836,0.922260208,0.916613376,0.913357267
CmsRemoteShellClient.executeCommand,0.807554833,0.878379118,0.829615492,0.799091124,0.835031686,0.886152355
Config.addEventJournalConfig,0.929830237,0.941165767,0.995969499,0.969846317,0.927950147,0.926521499
NetUtils.getIPv6UrlRepresentation,0.914020655,0.914349849,0.934473141,0.937385079,0.880259204,0.955450158
ExtensionAuthentication.getAuthenticationMethodTypeForIdentifier,0.988166416,0.988524172,0.967598616,0.842465939,0.98845994,0.988741093
Navigation.wantRotate,0.761730105,0.781344815,0.77016422,0.747420856,0.766343872,0.763400739
FPGrowth.run,0.909609067,0.923886188,0.888698463,0.934303299,0.905026736,0.871072857
StatisticsEditsVisitor.visit,0.908550434,0.920806349,0.909424406,0.930123822,0.898929119,0.865073747
MLLibUtil.toClassifierPrediction,0.962413352,0.96299606,0.966445764,0.995044567,0.961453331,0.988277442
ExceptionProxy.checkAndThrowException,0.695598867,0.797595241,0.718187079,0.917702292,0.71245646,0.792162871
CameraPlaneProjection.setIntrinsic,0.827612276,0.999938593,0.885933466,0.814318083,0.828370144,0.832043415
AbstractIndexWriter.addDescription,0.941889097,0.966944604,0.908288846,0.938854607,0.947992774,0.931327104
NormalizedKeySorter.readPointer,0.909778267,0.916165095,0.91577125,0.9417995,0.910395373,0.896196314
URI.removeFragmentIdentifier,0.923583628,0.923583628,0.922479839,0.924045354,0.924719736,0.924234032
DataDescriptorTreeConstructor.replicate,0.785390794,0.783477856,0.791137647,0.8478344,0.775611448,0.787164352
ArrayUtil.setOrAppend,0.867699145,0.955600073,0.955330331,0.923160329,0.942444275,0.959547335
GDiscreteFourierTransformOps.phase,0.998531064,0.993876425,0.992678292,0.998879062,0.998560003,0.989804576
LocalDate.atStartOfDay,0.934931612,0.973337668,0.927864529,0.949934521,0.93374432,0.98676894
UtilLepetitEPnP.jacobian_Control4,0.999953818,0.999901763,0.992334981,0.986374958,0.999947397,0.999034645
Calendar.setTimeZone,0.723735591,0.744226449,0.735857779,0.709162963,0.762224854,0.878814799
DefaultConvention.findCoordinateName,0.96077649,0.967438402,0.910914299,0.958130309,0.958262345,0.965266481
View.showSessionDialog,0.914168807,0.926193615,0.880510337,0.845104511,0.913829392,0.874755568
InternalPartitionServiceImpl.updatePartitionsAndFinalizeMigrations,0.863231534,0.856177313,0.801831743,0.849425183,0.873348465,0.868802142
JsonSlurper.parse,0.807145748,0.880808918,0.730401252,0.965084081,0.806770126,0.877359745
BinaryExternalSorter.close,0.840674768,0.808607544,0.739385685,0.826891638,0.808437838,0.809873295
CmsPublishEngine.checkCurrentPublishJobThread,0.913795622,0.919280747,0.874004786,0.897517433,0.912485688,0.903278153
AbstractParamDialog.getBtnOK,0.961544105,0.935176936,0.935331103,0.942846115,0.962508837,0.943660984
LoggingUtil.exception,0.999892434,0.9969913,0.996821477,0.643118397,0.99986617,0.996635238
DisparityToColorPointCloud.configure,0.926970274,0.92424089,0.951419357,0.955381675,0.926042929,0.943593307
CardinalityEstimatorContainer.merge,0.887062167,0.897282196,0.903388639,0.914726217,0.902395287,0.884693662
DeprecatedListWriter.generateDeprecatedListFile,0.897159399,0.909134388,0.934574978,0.954333228,0.883494499,0.914685233
ProcfsBasedProcessTree.getCumulativeCpuTime,0.939266193,0.931937482,0.931137423,0.930871223,0.932102761,0.920630322
DataSet.leftOuterJoin,1,0.997241205,0.996509741,0.997212725,0.999884008,0.975645389
Extension.encode,0.955679147,0.838787686,0.943575959,0.951427259,0.955696096,0.788242771
AbstractNode.addLeafEntry,0.999881311,0.994760373,1,0.99989415,0.999868954,0.994371448
QueueContainer.offerBackup,0.999854174,0.999912001,0.997798672,0.999890196,0.999924362,0.999880042
DapSerializer.writeAtomicVariable,0.898613991,0.857316356,0.85077243,0.946650849,0.894646697,0.888220156
BinaryImageOps.clusterToBinary,0.987630039,0.988189034,0.988547265,0.98721741,0.959235561,0.973080834
SearchIterator.previous,0.945426854,0.954566455,0.955184715,0.968429432,0.940889164,0.962120372
RuleBasedTransliterator.safeClone,0.981468089,0.883224931,0.972436158,0.950172928,0.981952185,0.929960315
KeyUtil.getAlgorithmAfterWith,0.962501569,0.926912798,0.951207661,0.938267399,0.949093047,0.953168009
ExecutionJobVertex.connectToPredecessors,0.868778587,0.817250039,0.755147768,0.911230389,0.847578598,0.862434355
HydrogenAtom.matches,0.871955051,0.868722028,0.887224671,0.839911596,0.863564058,0.86943468
FsStateBackend.createCheckpointStorage,0.903571798,0.92921928,0.926701248,0.879452778,0.900467482,0.921526781
VersionCheck.checkVersions,0.811417218,0.852094821,0.854649612,0.880377207,0.830554712,0.823001966
FindDialog.getBtnCancel,0.988648085,0.982462985,0.977161981,0.966501067,0.988388594,0.981021567
JShellTool.printEvalException,0.850716967,0.853053718,0.798162661,0.769823597,0.869133495,0.747072347
