func_name,deepseekv3.2_ires,deepseekv4-flash_ires,gpt-5.4-mini_ires,gemini-3.1-flash-lite-preview_ires,Qwen3-32B_ires,Qwen3-Coder-30B-A3B-Instruct_ires
CmsDialogElements.computeElements,0.931164141,0.971842405,0.949950035,0.93005902,0.921252323,0.933657999
CoordSysBuilder.findCoordinateTransforms,0.977447662,0.992750772,0.986870463,0.975496618,0.977435009,0.962783971
ParallelStreamReader.performReads,0.765316582,0.803976511,0.742482728,0.777338935,0.766345842,0.813608779
FileReader.checkFile,0.855429447,0.89518847,0.890149783,0.792287806,0.854748279,0.823617296
SourceStreamTask.triggerCheckpoint,0.87409434,0.933300813,0.907140332,0.846633087,0.917809417,0.883861855
VariableIndex.getRecordAt,0.711955376,0.682129198,0.817276006,0.673623577,0.693698218,0.704553552
AsyncLoggerSet.waitForWriteQuorum,0.810326873,0.882773676,0.892003859,0.916527201,0.896882034,0.855333785
Resolve.notOverriddenIn,0.818841086,0.888324733,0.800107089,0.837531081,0.849291806,0.863441517
LazyValueMap.chopMap,0.889189826,0.806105536,0.845700575,0.854587426,0.886409027,0.864032141
QrCodeUtil.encode,0.823704086,0.922382972,0.913056864,0.937572952,0.837697498,0.834810229
ExampleTemplateMatching.showMatchIntensity,0.942083178,0.945418486,0.944249492,0.935142199,0.957038922,0.967577947
KinesisDataFetcher.registerShardMetrics,0.876041892,0.90738924,0.881545359,0.903016783,0.871252923,0.924021833
Formatter.formatMessage,0.919059694,0.993430438,0.966036078,0.993588659,0.909527231,0.942586819
MDLV3000Reader.readBondBlock,0.918631775,0.959027712,0.884335987,0.911466337,0.916580531,0.934330665
Period.moreThan,0.963442197,0.964202108,0.677936462,0.963419599,0.964373167,0.961383618
SaturationChecker.couldMatchAtomType,0.875657665,0.91061809,0.884818145,0.894445664,0.873650348,0.899937688
SquareGridTools.findIntersection,0.887571448,0.915435968,0.952400355,0.877417717,0.888662581,0.935103256
Config.setCacheEventJournalConfigs,0.999943901,0.999919767,0.999923762,0.99988959,0.999923762,0.999915312
MathUtil.binomialCoefficient,0.904002272,0.906084519,0.942294493,0.922623391,0.891336425,0.90490288
CmsEmbeddedDialogHandler.onSiteOrProjectChange,1,0.999948389,0.99987775,0.977147229,0.991734865,0.999905985
RingbufferService.getOrCreateContainer,0.89255103,0.897996558,0.899319175,0.876345541,0.882321281,0.874662774
MetadataType.getType,0.976269757,0.921370723,0.926777617,0.977059376,0.976085266,0.976112182
SubWriterHolderWriter.addInheritedSummaryHeader,1,0.99990582,0.999852118,0.999864317,0.991523244,0.977583367
RawLocalFileSystem.getFileCrc,0.906575152,0.941548758,0.943086965,0.898905518,0.921232764,0.91789481
RythmEngine.createEngine,0.936386323,0.97604885,0.97531888,0.946352208,0.953207063,0.743429597
XMLTokener.nextMeta,0.839986846,0.891231715,0.890923971,0.984574826,0.827934129,0.862118005
DefaultGroovyMethods.collect,0.999904941,0.999862201,0.999803455,0.999870947,0.99986256,0.999913316
StatementUtil.prepareCall,0.986106162,0.995696373,0.995465086,0.986289399,0.986158871,0.994978628
ErddapString2.toRational,0.857476233,0.779797901,0.857925253,0.83988548,0.845480939,0.812600876
CrossOperatorBase.executeOnCollections,0.966081421,0.958052139,0.995131774,0.97979874,0.964132529,0.995490037
DancingLinks.split,0.962630045,0.967904809,0.925070356,0.853450115,0.963426884,0.815155804
TableFactoryService.discoverFactories,0.928026383,0.88696382,0.937750595,0.919960623,0.931316677,0.921209792
Storage.writeAll,0.765312721,0.76373124,0.528452961,0.765031059,0.764742512,0.763570053
CmsObject.loginUser,0.827142191,0.871786112,0.734105364,0.912996931,0.83365737,0.852270755
UploadFileHeader.getContentType,0.918287749,0.925908485,0.953048994,0.946070534,0.918530903,0.939973146
GasteigerPEPEPartialCharges.assignGasteigerPiPartialCharges,0.805631069,0.844454156,0.788777587,0.785367857,0.835634533,0.741170024
TypeExtractor.createHadoopWritableTypeInfo,0.903691192,0.934620043,0.956301246,0.894478677,0.865992615,0.930139794
URI.indexFirstOf,0.98495218,0.930013369,0.978622633,0.968833916,0.985371771,0.929411115
ExampleLineDetection.detectLines,0.94847892,0.949008961,0.920677309,0.935048412,0.94663268,0.908397639
UserCodeDeploymentService.handleClassNotFoundException,0.815290065,0.763339928,0.833031981,0.775857646,0.800705208,0.82710992
CanonicalLabeler.breakTies,0.846111207,0.784341464,0.816357411,0.832647531,0.856088118,0.760646425
JsonOutput.getIndent,0.957423435,0.991127099,0.987460956,0.956125332,0.956418147,0.990805669
GribResourceReader.getInputStream,0.89102925,0.844400795,0.898230533,0.864144356,0.894871643,0.836541792
ConfusionMatrix.rowSum,0.978795544,0.998080472,0.797443745,0.997985271,0.992709624,0.992873124
SecureASTCustomizer.setReceiversClassesWhiteList,0.999892524,0.999916645,1,1,0.999889877,0.999861656
Partition.inSameCell,0.981673589,0.98167042,0.957998212,0.981528168,0.980885441,0.99063821
JavacTaskImpl.doCall,0.779485921,0.808437113,0.806443285,0.775432714,0.770951834,0.816346419
DownloadController.setup,0.838702897,0.886747609,0.901480775,0.899797538,0.854502278,0.823379532
ELKILauncher.main,0.800491974,0.719351332,0.810447902,0.752465232,0.780889197,0.775671167
DefaultJsonGenerator.writeMap,0.937780953,0.949170331,0.945250452,0.943015211,0.950430491,0.947501254
BaseAsymmetric.initKeys,0.877361369,0.885105515,0.956623194,0.899846525,0.878841205,0.859545701
ArrayUtils.append,0.883216642,0.96557412,0.912768372,0.966027965,0.876202921,0.969692993
OptionsSpiderPanel.getHandleODataSpecificParameters,0.990124878,0.992496818,0.993839855,0.991756909,0.99700421,0.991313321
QrCodeDecoderBits.applyErrorCorrection,0.868599496,0.877563086,0.875397949,0.886086992,0.879704124,0.837862915
MemoryFileManager.hasLocation,0.983313003,0.984131324,0.802855691,0.997748823,0.983745262,0.997962178
DefaultGroovyMethods.min,0.951903383,0.95131203,0.951760771,0.984648655,0.951450106,0.950812357
JavacMessages.instance,0.969526019,0.968888542,0.929558721,0.967527428,0.969970196,0.96153514
DataSet.squishToRange,0.92913208,0.971487354,0.956199525,0.954694481,0.929160949,0.970948471
StandardGenerator.generateAnnotation,0.88315492,0.886154258,0.905361091,0.889317464,0.87007366,0.9061073
TabbedPanel2.setTitleAt,0.922293115,0.933247611,0.798459753,0.940167952,0.936351864,0.928104136
HttpResponse.writeBody,0.864670897,0.886430579,0.917427016,0.890957676,0.859994783,0.879318722
NetworkBufferPool.destroyAllBufferPools,0.911129987,0.934287263,0.923950042,0.903360718,0.917161461,0.943366815
Packet.setPacketType,0.758623047,0.844334257,0.726377578,0.716833262,0.728944718,0.569089394
JdiInitiator.listenTarget,0.851786336,0.868922169,0.865412761,0.795143836,0.875969901,0.813720395
AvatarNode.getProtocolVersion,0.990008264,0.989966122,0.989857753,0.989918399,0.990260504,0.989754245
CmsSecurityManager.readOwner,0.994974805,0.994341527,0.995004436,0.994979115,0.994917191,0.994286074
File.getAbsolutePath,0.778282265,0.762991952,0.894655607,0.713838719,0.778256552,0.778164772
GHistogramFeatureOps.histogram,0.955568294,0.965691342,0.962741359,0.967566727,0.964455736,0.965711504
JavacParser.enumeratorDeclaration,0.896611112,0.928462366,0.852283752,0.919637799,0.927829817,0.902073264
WorkbenchPanel.setPanelsVisible,0.999905292,0.999854409,0.999899377,0.999916055,0.999898115,0.940545695
RStarTreeKNNQuery.batchNN,0.92740238,0.937797158,0.942257362,0.93517313,0.960252876,0.946028166
JavacParser.basicType,0.803357947,0.784651687,0.801317459,0.779151324,0.803524939,0.781633969
FastCopy.alignDatanodes,0.974237283,0.970789244,0.970646255,0.905813809,0.974206707,0.978697356
Invocation.initInvocationTarget,0.821770486,0.787310423,0.847810468,0.742785594,0.842794622,0.797837126
EnumUtil.getNames,0.999874238,0.999874238,0.999893546,0.999872236,0.999904795,0.999893546
AtomValenceDescriptor.calculate,0.906520618,0.952681401,0.746090791,0.983587399,0.90686463,0.987479962
ClusterManager.checkResourceRequestLimit,0.899642587,0.895526615,0.919829666,0.924656789,0.8786029,0.904574713
StaticTypeCheckingSupport.isAssignableTo,0.918105202,0.886361124,0.900930622,0.901025493,0.92619964,0.904908567
ClosureSignatureHint.pickGenericType,0.881181796,0.885442548,0.894600186,0.974930956,0.89226274,0.93798298
ServerView.inputChanged,0.923075494,0.842149975,0.816859742,0.821956972,0.922677647,0.967258919
HttpPrefixFetchFilter.normalisedPort,0.911289815,0.92564931,0.933185514,0.932966622,0.911383147,0.912273899
CmsProperty.isIdentical,0.925170952,0.924288336,0.923542301,0.897462452,0.923965192,0.924536599
ElasticsearchUtils.convertInetSocketAddresses,0.959313091,0.971598956,0.953802597,0.957221266,0.959636992,0.953669505
CanvasSize.clipToMargin,0.922120492,0.925479814,0.907802225,0.902288578,0.925576078,0.907361
SameSizeKMeansAlgorithm.initializeMeta,0.949161386,0.95108683,0.986889093,0.939904092,0.967806282,0.966660693
ScanProgressDialog.getJScrollPane,0.941834111,0.941883149,0.942134162,0.945136634,0.94208487,0.935116024
ProcessGroovyMethods.consumeProcessErrorStream,0.982682771,0.978530469,0.97891799,0.955947581,0.98278072,0.978743151
JumboCyclicVertexSearch.toArray,0.989322535,0.99040489,0.989640445,0.990559064,0.989212731,0.989982867
GradientSobel_UnrolledOuter.process_F32_sub,0.983957491,0.979326061,0.981295697,0.961777011,0.967111493,0.956904266
GammaDistribution.logpdf,0.959742831,0.976656171,0.984574817,0.8962227,0.9708311,0.982676441
AbstractMapWritable.write,0.889941995,0.88923881,0.831142225,0.889670436,0.879573471,0.895027881
SiteMap.handleEvent,0.9051047,0.927144434,0.907882206,0.875750794,0.893329577,0.945039801
CommonCache.clearAll,0.76071566,0.944054,0.999856404,0.991957109,0.718782474,0.991788865
Utils.findClass,0.901827545,0.895461139,0.873074363,0.845834652,0.871914191,0.845798996
TimeSeriesUtils.reshapeTimeSeriesMaskToVector,0.930559883,0.976862478,0.935184129,0.977943417,0.937703272,0.963728808
Config.getMapEventJournalConfig,0.999889188,0.9999409,0.999900009,0.999913453,0.99988727,0.995558018
Sql.executeQuery,0.999889507,0.999900379,0.999855166,0.999862645,0.999859383,0.999866755
UPropertyAliases.getPropertyName,0.942694239,0.973864807,0.984337475,0.94212832,0.947434691,0.94778579
FactoryPyramid.discreteGaussian,0.895486469,0.916536159,0.807431087,0.897805417,0.902462935,0.911263251
CmsPropertyAdvanced.buildEditForm,0.827495597,0.853124332,0.884204177,0.811156094,0.850139909,0.880886784
Number.operate,0.990404888,0.960811646,0.946723168,0.986923898,0.990471154,0.960922443
Script.println,0.977318059,0.977528005,0.82810687,0.978104208,0.97773651,0.977043384
Graph.dfs,0.917492818,0.921893257,0.898993198,0.909775134,0.917625176,0.88587019
ExtensionHook.getHttpSenderListeners,0.999909234,0.999909234,0.510580702,0.999892811,1,0.99990469
SourceTreeManager.getSourceTree,0.900585125,0.884576056,0.885901251,0.93757061,0.887017461,0.940631849
ByteVector.getBytes,0.515805801,0.520244484,0.536922632,0.628290948,0.516082596,0.536050746
SubstructureFingerprinter.setSmarts,0.858093434,0.958738907,0.942982871,0.824103155,0.955580835,0.956842272
IdentityTemplateLibrary.encodeCoordinates,0.913673214,0.908330775,0.918175445,0.929024346,0.924543383,0.917275651
FindDialog.getJPanel1,0.99576094,0.965774228,0.995781019,0.995703882,0.995689469,0.995724879
LabelAwareUimaSentenceIterator.currentLabel,0.726833028,0.740016037,0.865724311,0.724015853,0.731298837,0.765770319
Convert.toSBC,0.956220458,0.976831392,0.977026683,0.988623316,0.956610812,0.966547087
DenseFlowPyramidBase.interpolateFlowScale,0.831992832,0.812007657,0.847927375,0.904370324,0.832597384,0.89862084
KeyedStream.validateKeyTypeIsHashable,0.77645964,0.765098447,0.845373809,0.829365254,0.760105733,0.834850612
MandatoryWarningHandler.reportDeferredDiagnostic,0.840141053,0.896542027,0.932546365,0.858194181,0.859651625,0.877728193
TagletManager.initCustomTaglets,0.93731913,0.943817325,0.92587243,0.958270955,0.953125674,0.945034067
ObjectOutputStream.writeClassDesc,0.957771001,0.954198936,0.9790641,0.96933889,0.96456097,0.942059957
JavacParser.annotationValue,0.857054931,0.858114046,0.850605056,0.850536349,0.83964126,0.857644822
MathUtils.xVals,0.964553801,0.961452668,0.968550889,0.968071184,0.960965877,0.961318521
DBOutputFormat.getRecordWriter,0.944770851,0.960827503,0.938543201,0.959123158,0.955586694,0.963324537
Instance.allocateSimpleSlot,0.966751617,0.995845,0.909424871,0.975360182,0.960345375,0.994665353
ClassPathResource.initUrl,0.776687214,0.844971518,0.853539982,0.835897815,0.759911832,0.807309187
MAMatrix.dot,0.962233211,0.982682859,0.966396483,0.982094195,0.982437776,0.982929493
IntegralImageOps.convolve,0.999916557,0.994831308,0.999910692,0.994495585,0.994266764,0.994759938
CmsHistoryProject.getPublishedByName,0.916751729,0.915914372,1,0.99995153,0.876760722,0.999901539
CacheUtil.getPrefixedCacheName,0.873374237,0.872057372,0.873374237,0.873446693,0.873349479,0.872773015
MapKeyLoaderUtil.getMaxSizePerNode,0.881318219,0.883491334,0.95847845,0.874587724,0.881300211,0.938093907
AggregateOperationFactory.createResolvedWindow,0.944204708,0.934388826,0.933861076,0.94204164,0.945167119,0.942738219
OrientationHistogramSift.computeHistogram,0.838519048,0.857612745,0.886181382,0.854735525,0.852441082,0.857342336
CassandraOutputFormatBase.open,0.876552802,0.730452936,0.895557543,0.901699259,0.875825217,0.916481547
CmsFileExplorer.onClickNew,0.93764452,0.946453942,0.943767208,0.947298304,0.937696739,0.935661187
Group.addEnumeration,0.88019301,0.905775365,0.765711427,0.960709802,0.881073644,0.862068884
ExpressionUtils.transformBinaryConstantExpression,0.860971751,0.838254842,0.885361924,0.846263024,0.88494507,0.840418236
SegmentSlic.perturbCenter,0.938490356,0.942158281,0.962653681,0.940632757,0.924048735,0.936014481
GeneralPurposeFFT_F32_1D.realForwardFull,0.912084497,0.922054935,0.967970622,0.961586689,0.939260204,0.971478809
CDMNode.unwrap,0.903059123,0.914442385,0.879722316,0.868763084,0.895417632,0.859813916
DSequence.externalize,0.841745282,0.794644255,0.734312333,0.778471058,0.84161139,0.841515134
AddOnInstaller.getFilesSafeForUninstall,0.913126914,0.93621636,0.89584531,0.934760797,0.911469929,0.908073738
Broadcast.add,0.999879363,0.99992909,0.874074019,0.987852297,0.996735572,0.996395907
ConfigValidator.checkAndLogPropertyDeprecated,0.87470266,0.941358247,0.864722768,0.902709701,0.867599741,0.863584767
AntlrParserPlugin.mapExpression,0.87644341,0.895664432,0.880192227,0.946872149,0.881575155,0.891208836
Expression.error,0.974351353,0.96146364,0.924362937,0.967001445,0.981072082,0.96069091
GroovyCollections.subsequences,0.916200546,0.900276883,0.922260208,0.913357267,0.916613376,0.913217836
CmsRemoteShellClient.executeCommand,0.807554833,0.878379118,0.799091124,0.886152355,0.835031686,0.829615492
Config.addEventJournalConfig,0.929830237,0.941165767,0.969846317,0.926521499,0.927950147,0.995969499
NetUtils.getIPv6UrlRepresentation,0.914020655,0.914349849,0.937385079,0.955450158,0.880259204,0.934473141
ExtensionAuthentication.getAuthenticationMethodTypeForIdentifier,0.988166416,0.988524172,0.842465939,0.988741093,0.98845994,0.967598616
Navigation.wantRotate,0.761730105,0.781344815,0.747420856,0.763400739,0.766343872,0.77016422
FPGrowth.run,0.909609067,0.923886188,0.934303299,0.871072857,0.905026736,0.888698463
StatisticsEditsVisitor.visit,0.908550434,0.920806349,0.930123822,0.865073747,0.898929119,0.909424406
MLLibUtil.toClassifierPrediction,0.962413352,0.96299606,0.995044567,0.988277442,0.961453331,0.966445764
ExceptionProxy.checkAndThrowException,0.695598867,0.797595241,0.917702292,0.792162871,0.71245646,0.718187079
CameraPlaneProjection.setIntrinsic,0.827612276,0.999938593,0.814318083,0.832043415,0.828370144,0.885933466
AbstractIndexWriter.addDescription,0.941889097,0.966944604,0.938854607,0.931327104,0.947992774,0.908288846
NormalizedKeySorter.readPointer,0.909778267,0.916165095,0.9417995,0.896196314,0.910395373,0.91577125
URI.removeFragmentIdentifier,0.923583628,0.923583628,0.924045354,0.924234032,0.924719736,0.922479839
DataDescriptorTreeConstructor.replicate,0.785390794,0.783477856,0.8478344,0.787164352,0.775611448,0.791137647
ArrayUtil.setOrAppend,0.867699145,0.955600073,0.923160329,0.959547335,0.942444275,0.955330331
GDiscreteFourierTransformOps.phase,0.998531064,0.993876425,0.998879062,0.989804576,0.998560003,0.992678292
LocalDate.atStartOfDay,0.934931612,0.973337668,0.949934521,0.98676894,0.93374432,0.927864529
UtilLepetitEPnP.jacobian_Control4,0.999953818,0.999901763,0.986374958,0.999034645,0.999947397,0.992334981
Calendar.setTimeZone,0.723735591,0.744226449,0.709162963,0.878814799,0.762224854,0.735857779
DefaultConvention.findCoordinateName,0.96077649,0.967438402,0.958130309,0.965266481,0.958262345,0.910914299
View.showSessionDialog,0.914168807,0.926193615,0.845104511,0.874755568,0.913829392,0.880510337
InternalPartitionServiceImpl.updatePartitionsAndFinalizeMigrations,0.863231534,0.856177313,0.849425183,0.868802142,0.873348465,0.801831743
JsonSlurper.parse,0.807145748,0.880808918,0.965084081,0.877359745,0.806770126,0.730401252
BinaryExternalSorter.close,0.840674768,0.808607544,0.826891638,0.809873295,0.808437838,0.739385685
CmsPublishEngine.checkCurrentPublishJobThread,0.913795622,0.919280747,0.897517433,0.903278153,0.912485688,0.874004786
AbstractParamDialog.getBtnOK,0.961544105,0.935176936,0.942846115,0.943660984,0.962508837,0.935331103
LoggingUtil.exception,0.999892434,0.9969913,0.643118397,0.996635238,0.99986617,0.996821477
DisparityToColorPointCloud.configure,0.926970274,0.92424089,0.955381675,0.943593307,0.926042929,0.951419357
CardinalityEstimatorContainer.merge,0.887062167,0.897282196,0.914726217,0.884693662,0.902395287,0.903388639
DeprecatedListWriter.generateDeprecatedListFile,0.897159399,0.909134388,0.954333228,0.914685233,0.883494499,0.934574978
ProcfsBasedProcessTree.getCumulativeCpuTime,0.939266193,0.931937482,0.930871223,0.920630322,0.932102761,0.931137423
DataSet.leftOuterJoin,1,0.997241205,0.997212725,0.975645389,0.999884008,0.996509741
Extension.encode,0.955679147,0.838787686,0.951427259,0.788242771,0.955696096,0.943575959
AbstractNode.addLeafEntry,0.999881311,0.994760373,0.99989415,0.994371448,0.999868954,1
QueueContainer.offerBackup,0.999854174,0.999912001,0.999890196,0.999880042,0.999924362,0.997798672
DapSerializer.writeAtomicVariable,0.898613991,0.857316356,0.946650849,0.888220156,0.894646697,0.85077243
BinaryImageOps.clusterToBinary,0.987630039,0.988189034,0.98721741,0.973080834,0.959235561,0.988547265
SearchIterator.previous,0.945426854,0.954566455,0.968429432,0.962120372,0.940889164,0.955184715
RuleBasedTransliterator.safeClone,0.981468089,0.883224931,0.950172928,0.929960315,0.981952185,0.972436158
KeyUtil.getAlgorithmAfterWith,0.962501569,0.926912798,0.938267399,0.953168009,0.949093047,0.951207661
ExecutionJobVertex.connectToPredecessors,0.868778587,0.817250039,0.911230389,0.862434355,0.847578598,0.755147768
HydrogenAtom.matches,0.871955051,0.868722028,0.839911596,0.86943468,0.863564058,0.887224671
FsStateBackend.createCheckpointStorage,0.903571798,0.92921928,0.879452778,0.921526781,0.900467482,0.926701248
VersionCheck.checkVersions,0.811417218,0.852094821,0.880377207,0.823001966,0.830554712,0.854649612
FindDialog.getBtnCancel,0.988648085,0.982462985,0.966501067,0.981021567,0.988388594,0.977161981
JShellTool.printEvalException,0.850716967,0.853053718,0.769823597,0.747072347,0.869133495,0.798162661
